date,test_year,stock_code,name,sector,closing_price,shares,invested_krw,매수가,매도가,매도날짜,market_cap,score,score_rank,rank_pos,forward_return_21d_lag1_close
20170102,2017,000700,유수홀딩스,"회사본부,지주회사및경영컨설팅서비스업",5730,174.0,997020.0,6048.0,6737.0,20170203,149219582760,0.5617002313799399,2.7440062694008596,1.0,0.113922762384282
20170102,2017,002795,아모레퍼시픽홀딩스우,UNMAPPED_SECTOR,50000,20.0,1000000.0,49884.0,53448.0,20170203,322188500000,0.5399299138839154,2.082948250633123,2.0,0.07144136249491351
20170102,2017,138690,엘아이에스,특수목적용기계제조업,9400,106.0,996400.0,26878.0,25318.0,20170203,118464712600,0.5485392108829004,2.06138350534245,3.0,-0.0580197131499659
20170102,2017,117670,알파칩스,반도체제조업,9620,103.0,990860.0,370376.0,365765.0,20170203,116150042580,0.54216470015346,1.970313166081835,4.0,-0.012447720527384298
20170102,2017,003090,대웅,"회사본부,지주회사및경영컨설팅서비스업",43600,22.0,959200.0,8725.0,8934.0,20170203,506998065600,0.5447153532839408,1.9345828252788968,5.0,0.024030297111774956
20170102,2017,114120,크루셜텍,전자부품제조업,8150,122.0,994300.0,409246.0,416801.0,20170203,232498636000,0.5451574084974068,1.8683129727480532,6.0,0.01845984601014128
20170102,2017,085310,엔케이,"구조용금속제품,탱크및증기발생기제조업",2825,353.0,997225.0,2512.0,2486.0,20170203,138377969400,0.5712219905691348,1.8550528582370962,7.0,-0.010261198151860995
20170102,2017,005160,동국산업,1차철강제조업,4360,229.0,998440.0,4386.0,4072.0,20170203,218000000000,0.5462171322141692,1.85318532259915,8.0,-0.07176734040873656
20170102,2017,020150,롯데에너지머티리얼즈,전자부품제조업,12800,78.0,998400.0,12585.0,14228.0,20170203,501760000000,0.5429097138590873,1.7639846621999031,9.0,0.13057292050219416
20170102,2017,100090,SK오션플랜트,1차철강제조업,5940,168.0,997920.0,5592.0,7590.0,20170208,100110983940,0.542954135517335,1.6890872330930213,10.0,0.3572181798895613
20170202,2017,115960,연우,플라스틱제품제조업,32050,31.0,993550.0,31141.0,28887.0,20170307,397355900000,0.5490717889989031,2.0743681799311844,1.0,-0.0723634487136301
20170202,2017,092040,아미코젠,기타식품제조업,41100,24.0,986400.0,9408.0,9189.0,20170307,374657530500,0.5553432571189667,1.968854120995831,2.0,-0.02331005921128393
20170202,2017,138690,엘아이에스,특수목적용기계제조업,9320,107.0,997240.0,25318.0,28765.0,20170307,126262084880,0.5627074742071779,1.9226138925995233,3.0,0.13611698651736215
20170202,2017,900270,헝셩그룹,"회사본부,지주회사및경영컨설팅서비스업",2615,382.0,998930.0,2559.0,3541.0,20170307,209200000000,0.5452188951875382,1.8673047341808264,4.0,0.3835182205192502
20170202,2017,100090,SK오션플랜트,1차철강제조업,6730,148.0,996040.0,5968.0,6114.0,20170307,113425407730,0.5435928483900406,1.850414086403251,5.0,0.024569300519817094
20170202,2017,052400,코나아이,소프트웨어개발및공급업,10250,97.0,994250.0,20087.0,20086.0,20170307,159480959500,0.563494226138198,1.8394182727561577,6.0,-4.642787785869018e-05
20170202,2017,002795,아모레퍼시픽홀딩스우,UNMAPPED_SECTOR,54300,18.0,977400.0,53448.0,53251.0,20170307,349896711000,0.5305102211179128,1.7919009644673736,7.0,-0.003678527317555247
20170202,2017,001570,금양,기초화학물질제조업,2600,384.0,998400.0,2603.0,2678.0,20170411,102318600800,0.5617611668941402,1.774234331371326,8.0,0.02886515194509265
20170202,2017,082270,젬백스,특수목적용기계제조업,12500,80.0,1000000.0,12255.0,12007.0,20170307,382368650000,0.5572483582509655,1.7581280492924678,9.0,-0.02029453652079416
20170202,2017,095270,웨이브일렉트로,통신및방송장비제조업,18150,55.0,998250.0,16524.0,19187.0,20170307,192290175000,0.5404079789987848,1.7105900353979873,10.0,0.16120118637774694
20170306,2017,950140,잉글우드랩,UNMAPPED_SECTOR,8650,115.0,994750.0,9136.0,9078.0,20170405,167517232100,0.5494327178493544,2.9923628719681323,1.0,-0.006407530750699997
20170306,2017,141080,리가켐바이오,자연과학및공학연구개발업,25600,39.0,998400.0,12681.0,14430.0,20170405,254494899200,0.5579112180681258,2.0437417136599385,2.0,0.13790356025463346
20170306,2017,101490,에스앤에스텍,전자부품제조업,5810,172.0,999320.0,5914.0,6064.0,20170405,114662273110,0.5452133152689482,1.8170313014290012,3.0,0.02545334131550714
20170306,2017,084110,휴온스글로벌,의약품제조업,26500,37.0,980500.0,20926.0,22230.0,20170405,257539508000,0.5426360799237058,1.8076124101824058,4.0,0.0623057075895872
20170306,2017,085310,엔케이,"구조용금속제품,탱크및증기발생기제조업",2410,414.0,997740.0,2095.0,1799.0,20170406,118049878320,0.543702481923031,1.7848563193350928,5.0,-0.14115831935022338
20170306,2017,228340,동양파일,"시멘트,석회,플라스터및그제품제조업",7540,132.0,995280.0,7570.0,8219.0,20170405,150800000000,0.5108263511034167,1.6123181840622085,6.0,0.0858084472248557
20170306,2017,029460,케이씨,"측정,시험,항해,제어및기타정밀기기제조업;광학기기제외",13850,72.0,997200.0,11821.0,11527.0,20170405,462498368400,0.525526002554066,1.5415725877929711,7.0,-0.02488304064800051
20170306,2017,060570,드림어스컴퍼니,영상및음향기기제조업,3260,306.0,997560.0,3226.0,5794.0,20170405,101373598960,0.5154343325589481,1.4955771904502013,8.0,0.7959625160968764
20170306,2017,082270,젬백스,특수목적용기계제조업,11750,85.0,998750.0,12007.0,14058.0,20170405,359426531000,0.5381093917460233,1.434986298150573,9.0,0.17085430709919147
20170306,2017,052400,코나아이,소프트웨어개발및공급업,10000,100.0,1000000.0,20086.0,23085.0,20170405,155591180000,0.5541689672910896,1.4165813464590502,10.0,0.1492778449526333
20170404,2017,015860,일진홀딩스,회사본부및경영컨설팅서비스업,4810,207.0,995670.0,4789.0,4739.0,20170510,237361393230,0.5669526296882069,2.511973537192433,1.0,-0.0104358840172325
20170404,2017,000230,일동홀딩스,의약품제조업,20000,50.0,1000000.0,18451.0,17771.0,20170510,144456240000,0.558677588842694,2.3671378697559073,2.0,-0.03686281133656433
20170404,2017,205500,넥써쓰,소프트웨어개발및공급업,5470,182.0,995540.0,5672.0,6072.0,20170706,136418660220,0.553203360177808,2.18203390883031,3.0,0.07051352531993382
20170404,2017,042040,케이피엠테크,기타화학제품제조업,12950,77.0,997150.0,2609.0,2689.0,20170510,143839845800,0.5365909238523533,1.9175426990803592,4.0,0.03064252307169224
20170404,2017,052400,코나아이,소프트웨어개발및공급업,10600,94.0,996400.0,23085.0,19988.0,20170510,164926650800,0.5445658231385445,1.8541467238569107,5.0,-0.13414043787438645
20170404,2017,02826K,삼성물산우B,UNMAPPED_SECTOR,82300,12.0,987600.0,82159.0,86081.0,20170531,133938312000,0.5185157715924592,1.7801161125274816,6.0,0.0477414439192414
20170404,2017,001570,금양,기초화학물질제조업,2680,373.0,999640.0,2689.0,2683.0,20170510,105466865440,0.5392381668306766,1.6251884813542083,7.0,-0.0020425902266754115
20170404,2017,190510,나무가,전자부품제조업,41050,24.0,985200.0,10307.0,9528.0,20170510,139048829200,0.5470605283939904,1.577319181230275,8.0,-0.07550489145845851
20170404,2017,114570,지스마트글로벌,반도체제조업,13250,75.0,993750.0,32068.0,33948.0,20170510,270682686500,0.5621064914448977,1.5265411656914476,9.0,0.05863791357560877
20170404,2017,101490,에스앤에스텍,전자부품제조업,5900,169.0,997100.0,6064.0,5893.0,20170510,116438452900,0.5446969929552363,1.5037832681627648,10.0,-0.028264264483137236
20170508,2017,000230,일동홀딩스,의약품제조업,19450,51.0,991950.0,17771.0,14675.0,20171129,204036257200,0.5477800495373162,2.465064246444276,1.0,-0.17423164326266072
20170508,2017,053030,바이넥스,의약품제조업,13450,74.0,995300.0,13428.0,11724.0,20170609,421098625600,0.5449469758271517,2.3291742452159627,2.0,-0.12690266759236402
